# # Wavelength(nm), Intensity (W)
5.0000e+02,2.0077e-07
5.1000e+02,2.0410e-07
5.2000e+02,2.7177e-07
5.3000e+02,4.1153e-07
5.4000e+02,6.3228e-07
5.5000e+02,9.2401e-07
5.6000e+02,1.2668e-06
5.7000e+02,1.6195e-06
5.8000e+02,2.1830e-06
5.9000e+02,2.5790e-06
6.0000e+02,3.0161e-06
6.1000e+02,3.3977e-06
6.2000e+02,4.0321e-06
6.3000e+02,4.2107e-06
6.4000e+02,4.2961e-06
6.5000e+02,4.4514e-06
6.6000e+02,4.1553e-06
6.7000e+02,3.8247e-06
6.8000e+02,3.6084e-06
6.9000e+02,3.1614e-06
7.0000e+02,2.8663e-06
7.1000e+02,2.4858e-06
7.2000e+02,2.0898e-06
7.3000e+02,1.7171e-06
7.4000e+02,1.4254e-06
7.5000e+02,1.1680e-06
7.6000e+02,9.9167e-07
7.7000e+02,8.4414e-07
7.8000e+02,7.1325e-07
7.9000e+02,6.0787e-07
8.0000e+02,5.1802e-07
8.1000e+02,4.2928e-07
8.2000e+02,3.6273e-07
8.3000e+02,3.5163e-07
8.4000e+02,3.4609e-07
8.5000e+02,4.2928e-07
8.6000e+02,6.5446e-07
8.7000e+02,1.1170e-06
8.8000e+02,2.0765e-06
8.9000e+02,3.9756e-06
9.0000e+02,5.8813e-06
9.1000e+02,7.0138e-06
9.2000e+02,6.6522e-06
9.3000e+02,4.9706e-06
9.4000e+02,3.5052e-06
9.5000e+02,2.3095e-06
9.6000e+02,1.6339e-06
9.7000e+02,1.2191e-06
9.8000e+02,1.0327e-06
9.9000e+02,1.0815e-06
1.0000e+03,1.3500e-06
1.0100e+03,1.8802e-06
1.0200e+03,2.6079e-06
1.0300e+03,3.7105e-06
1.0400e+03,4.9107e-06
1.0500e+03,6.2518e-06
1.0600e+03,7.4675e-06
1.0700e+03,8.3804e-06
1.0800e+03,8.8641e-06
1.0900e+03,9.4664e-06
1.1000e+03,1.0134e-05
1.1100e+03,9.7526e-06
1.1200e+03,9.1735e-06
1.1300e+03,9.2279e-06
1.1400e+03,9.2989e-06
1.1500e+03,9.8202e-06
1.1600e+03,1.0791e-05
1.1700e+03,1.0571e-05
1.1800e+03,1.0220e-05
1.1900e+03,1.0039e-05
1.2000e+03,9.6627e-06
1.2100e+03,9.2556e-06
1.2200e+03,8.6755e-06
1.2300e+03,8.1785e-06
1.2400e+03,7.7792e-06
1.2500e+03,6.5890e-06
1.2600e+03,5.9977e-06
1.2700e+03,5.5651e-06
1.2800e+03,5.2878e-06
1.2900e+03,4.8219e-06
1.3000e+03,4.4270e-06
1.3100e+03,4.3305e-06
1.3200e+03,4.5258e-06
1.3300e+03,4.2884e-06
1.3400e+03,4.1442e-06
1.3500e+03,4.0676e-06
1.3600e+03,3.8502e-06
1.3700e+03,3.2945e-06
1.3800e+03,2.6888e-06
1.3900e+03,2.2385e-06
1.4000e+03,1.6894e-06
1.4100e+03,1.1925e-06
1.4200e+03,9.9833e-07
1.4300e+03,8.3971e-07
1.4400e+03,7.2989e-07
1.4500e+03,6.5446e-07
1.4600e+03,5.6239e-07
1.4700e+03,5.1913e-07
1.4800e+03,4.6478e-07
1.4900e+03,4.2595e-07
1.5000e+03,3.9379e-07
1.5100e+03,3.8047e-07
1.5200e+03,3.7937e-07
1.5300e+03,3.8824e-07
1.5400e+03,3.8935e-07
1.5500e+03,3.9379e-07
1.5600e+03,4.0488e-07
1.5700e+03,4.0155e-07
1.5800e+03,4.1153e-07
1.5900e+03,4.1486e-07
1.6000e+03,4.2041e-07
1.6100e+03,4.1930e-07
1.6200e+03,4.1264e-07
1.6300e+03,4.0488e-07
1.6400e+03,4.1153e-07
1.6500e+03,4.0599e-07
1.6600e+03,3.9822e-07
1.6700e+03,4.0266e-07
1.6800e+03,4.0488e-07
1.6900e+03,4.0488e-07
